datetime,location
5/10/2006,Asahikawa
5/6/2007,Asahikawa
4/23/2008,Asahikawa
5/3/2009,Asahikawa
5/11/2010,Asahikawa
5/9/2011,Asahikawa
5/2/2012,Asahikawa
5/18/2013,Asahikawa
5/2/2014,Asahikawa
4/27/2015,Asahikawa
5/3/2016,Asahikawa
5/3/2017,Asahikawa
4/30/2018,Asahikawa
5/1/2019,Asahikawa
5/3/2020,Asahikawa
4/29/2021,Asahikawa
4/26/2022,Asahikawa
5/24/1953,Abashiri
5/16/1954,Abashiri
5/18/1955,Abashiri
5/9/1956,Abashiri
,Abashiri
,Abashiri
5/3/1959,Abashiri
,Abashiri
5/8/1961,Abashiri
,Abashiri
5/13/1963,Abashiri
,Abashiri
5/17/1965,Abashiri
5/18/1966,Abashiri
5/10/1967,Abashiri
5/6/1968,Abashiri
5/9/1969,Abashiri
5/8/1970,Abashiri
5/16/1971,Abashiri
5/3/1972,Abashiri
5/9/1973,Abashiri
5/16/1974,Abashiri
5/14/1975,Abashiri
5/13/1976,Abashiri
5/13/1977,Abashiri
5/10/1978,Abashiri
5/24/1979,Abashiri
5/21/1980,Abashiri
5/14/1981,Abashiri
5/11/1982,Abashiri
5/3/1983,Abashiri
5/24/1984,Abashiri
5/10/1985,Abashiri
5/8/1986,Abashiri
5/9/1987,Abashiri
5/12/1988,Abashiri
5/16/1989,Abashiri
5/7/1990,Abashiri
5/8/1991,Abashiri
5/13/1992,Abashiri
5/20/1993,Abashiri
5/13/1994,Abashiri
5/8/1995,Abashiri
5/24/1996,Abashiri
5/12/1997,Abashiri
4/28/1998,Abashiri
5/9/1999,Abashiri
5/18/2000,Abashiri
5/12/2001,Abashiri
4/29/2002,Abashiri
5/10/2003,Abashiri
5/12/2004,Abashiri
5/21/2005,Abashiri
5/15/2006,Abashiri
5/12/2007,Abashiri
5/3/2008,Abashiri
5/4/2009,Abashiri
5/17/2010,Abashiri
5/16/2011,Abashiri
5/3/2012,Abashiri
5/25/2013,Abashiri
5/7/2014,Abashiri
4/30/2015,Abashiri
5/8/2016,Abashiri
5/5/2017,Abashiri
5/2/2018,Abashiri
5/5/2019,Abashiri
5/7/2020,Abashiri
5/6/2021,Abashiri
4/27/2022,Abashiri
5/7/1953,Sapporo
5/4/1954,Sapporo
5/11/1955,Sapporo
5/4/1956,Sapporo
5/9/1957,Sapporo
,Sapporo
5/5/1959,Sapporo
5/5/1960,Sapporo
5/4/1961,Sapporo
4/30/1962,Sapporo
5/2/1963,Sapporo
5/4/1964,Sapporo
5/13/1965,Sapporo
5/3/1966,Sapporo
5/1/1967,Sapporo
4/26/1968,Sapporo
5/5/1969,Sapporo
5/3/1970,Sapporo
5/9/1971,Sapporo
4/29/1972,Sapporo
5/5/1973,Sapporo
5/11/1974,Sapporo
5/4/1975,Sapporo
5/7/1976,Sapporo
5/11/1977,Sapporo
5/10/1978,Sapporo
5/9/1979,Sapporo
5/14/1980,Sapporo
5/5/1981,Sapporo
5/4/1982,Sapporo
4/28/1983,Sapporo
5/12/1984,Sapporo
5/3/1985,Sapporo
5/5/1986,Sapporo
5/6/1987,Sapporo
5/3/1988,Sapporo
4/29/1989,Sapporo
4/25/1990,Sapporo
5/2/1991,Sapporo
5/4/1992,Sapporo
5/6/1993,Sapporo
5/6/1994,Sapporo
5/1/1995,Sapporo
5/5/1996,Sapporo
5/1/1997,Sapporo
4/23/1998,Sapporo
5/3/1999,Sapporo
5/8/2000,Sapporo
4/29/2001,Sapporo
4/22/2002,Sapporo
5/1/2003,Sapporo
5/5/2004,Sapporo
5/10/2005,Sapporo
5/8/2006,Sapporo
5/4/2007,Sapporo
4/21/2008,Sapporo
5/1/2009,Sapporo
5/7/2010,Sapporo
5/7/2011,Sapporo
5/1/2012,Sapporo
5/13/2013,Sapporo
4/29/2014,Sapporo
4/22/2015,Sapporo
4/25/2016,Sapporo
4/28/2017,Sapporo
4/26/2018,Sapporo
4/24/2019,Sapporo
4/30/2020,Sapporo
4/22/2021,Sapporo
4/23/2022,Sapporo
5/9/1953,Iwamizawa
5/6/1954,Iwamizawa
5/10/1955,Iwamizawa
5/5/1956,Iwamizawa
5/8/1957,Iwamizawa
5/10/1958,Iwamizawa
4/28/1959,Iwamizawa
5/11/1960,Iwamizawa
5/4/1961,Iwamizawa
5/3/1962,Iwamizawa
5/8/1963,Iwamizawa
5/7/1964,Iwamizawa
5/16/1965,Iwamizawa
5/12/1966,Iwamizawa
5/5/1967,Iwamizawa
5/3/1968,Iwamizawa
5/10/1969,Iwamizawa
5/9/1970,Iwamizawa
5/14/1971,Iwamizawa
5/4/1972,Iwamizawa
5/7/1973,Iwamizawa
5/11/1974,Iwamizawa
5/8/1975,Iwamizawa
5/9/1976,Iwamizawa
5/12/1977,Iwamizawa
5/10/1978,Iwamizawa
5/10/1979,Iwamizawa
5/15/1980,Iwamizawa
5/7/1981,Iwamizawa
5/5/1982,Iwamizawa
4/27/1983,Iwamizawa
5/17/1984,Iwamizawa
5/4/1985,Iwamizawa
5/5/1986,Iwamizawa
5/8/1987,Iwamizawa
5/5/1988,Iwamizawa
4/28/1989,Iwamizawa
4/26/1990,Iwamizawa
5/4/1991,Iwamizawa
5/9/1992,Iwamizawa
5/7/1993,Iwamizawa
5/8/1994,Iwamizawa
5/3/1995,Iwamizawa
5/7/1996,Iwamizawa
5/3/1997,Iwamizawa
4/24/1998,Iwamizawa
5/3/1999,Iwamizawa
5/9/2000,Iwamizawa
5/3/2001,Iwamizawa
4/22/2002,Iwamizawa
5/2/2003,Iwamizawa
5/6/2004,Iwamizawa
5/11/2005,Iwamizawa
5/9/2006,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
,Iwamizawa
5/15/1953,Obihiro
5/7/1954,Obihiro
5/10/1955,Obihiro
5/5/1956,Obihiro
5/9/1957,Obihiro
5/13/1958,Obihiro
5/1/1959,Obihiro
5/11/1960,Obihiro
5/5/1961,Obihiro
5/4/1962,Obihiro
5/7/1963,Obihiro
5/8/1964,Obihiro
5/15/1965,Obihiro
5/13/1966,Obihiro
5/3/1967,Obihiro
5/2/1968,Obihiro
5/7/1969,Obihiro
5/10/1970,Obihiro
5/13/1971,Obihiro
5/3/1972,Obihiro
5/6/1973,Obihiro
5/10/1974,Obihiro
5/12/1975,Obihiro
5/9/1976,Obihiro
5/11/1977,Obihiro
5/11/1978,Obihiro
5/11/1979,Obihiro
5/14/1980,Obihiro
5/4/1981,Obihiro
5/6/1982,Obihiro
5/1/1983,Obihiro
5/19/1984,Obihiro
5/3/1985,Obihiro
5/6/1986,Obihiro
5/4/1987,Obihiro
5/4/1988,Obihiro
5/5/1989,Obihiro
5/1/1990,Obihiro
5/4/1991,Obihiro
5/6/1992,Obihiro
5/8/1993,Obihiro
5/6/1994,Obihiro
5/4/1995,Obihiro
5/8/1996,Obihiro
4/30/1997,Obihiro
4/23/1998,Obihiro
5/3/1999,Obihiro
5/10/2000,Obihiro
4/29/2001,Obihiro
4/24/2002,Obihiro
5/2/2003,Obihiro
5/5/2004,Obihiro
5/4/2005,Obihiro
5/8/2006,Obihiro
5/6/2007,Obihiro
4/26/2008,Obihiro
5/1/2009,Obihiro
5/8/2010,Obihiro
5/3/2011,Obihiro
5/5/2012,Obihiro
5/10/2013,Obihiro
4/27/2014,Obihiro
4/26/2015,Obihiro
4/30/2016,Obihiro
5/1/2017,Obihiro
4/27/2018,Obihiro
4/28/2019,Obihiro
5/2/2020,Obihiro
4/24/2021,Obihiro
4/22/2022,Obihiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
,Kushiro
5/7/1972,Kushiro
5/12/1973,Kushiro
5/18/1974,Kushiro
5/22/1975,Kushiro
5/15/1976,Kushiro
5/24/1977,Kushiro
5/25/1978,Kushiro
5/28/1979,Kushiro
5/24/1980,Kushiro
5/22/1981,Kushiro
5/17/1982,Kushiro
5/12/1983,Kushiro
5/30/1984,Kushiro
5/18/1985,Kushiro
5/16/1986,Kushiro
5/17/1987,Kushiro
5/18/1988,Kushiro
5/18/1989,Kushiro
5/10/1990,Kushiro
5/11/1991,Kushiro
5/17/1992,Kushiro
5/16/1993,Kushiro
5/13/1994,Kushiro
5/14/1995,Kushiro
5/28/1996,Kushiro
5/19/1997,Kushiro
5/14/1998,Kushiro
5/19/1999,Kushiro
5/17/2000,Kushiro
5/18/2001,Kushiro
5/10/2002,Kushiro
5/22/2003,Kushiro
5/16/2004,Kushiro
5/22/2005,Kushiro
5/18/2006,Kushiro
5/16/2007,Kushiro
5/15/2008,Kushiro
5/10/2009,Kushiro
5/19/2010,Kushiro
5/18/2011,Kushiro
5/17/2012,Kushiro
5/23/2013,Kushiro
5/12/2014,Kushiro
5/6/2015,Kushiro
5/10/2016,Kushiro
5/14/2017,Kushiro
5/12/2018,Kushiro
5/9/2019,Kushiro
5/10/2020,Kushiro
5/8/2021,Kushiro
5/8/2022,Kushiro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
5/25/1960,Nemuro
5/18/1961,Nemuro
5/15/1962,Nemuro
5/18/1963,Nemuro
5/22/1964,Nemuro
5/21/1965,Nemuro
5/20/1966,Nemuro
5/14/1967,Nemuro
5/22/1968,Nemuro
5/17/1969,Nemuro
5/20/1970,Nemuro
5/26/1971,Nemuro
5/12/1972,Nemuro
5/14/1973,Nemuro
5/17/1974,Nemuro
5/26/1975,Nemuro
5/17/1976,Nemuro
5/27/1977,Nemuro
5/17/1978,Nemuro
5/28/1979,Nemuro
5/25/1980,Nemuro
5/24/1981,Nemuro
5/19/1982,Nemuro
5/15/1983,Nemuro
5/30/1984,Nemuro
5/19/1985,Nemuro
5/19/1986,Nemuro
5/15/1987,Nemuro
5/22/1988,Nemuro
5/20/1989,Nemuro
5/11/1990,Nemuro
5/13/1991,Nemuro
5/24/1992,Nemuro
,Nemuro
5/19/1994,Nemuro
5/18/1995,Nemuro
5/24/1996,Nemuro
5/14/1997,Nemuro
5/14/1998,Nemuro
5/19/1999,Nemuro
5/22/2000,Nemuro
5/16/2001,Nemuro
5/8/2002,Nemuro
5/21/2003,Nemuro
5/14/2004,Nemuro
5/21/2005,Nemuro
5/17/2006,Nemuro
5/16/2007,Nemuro
5/16/2008,Nemuro
5/10/2009,Nemuro
5/18/2010,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
,Nemuro
5/10/1953,Muroran
5/7/1954,Muroran
5/18/1955,Muroran
5/8/1956,Muroran
5/8/1957,Muroran
5/12/1958,Muroran
4/27/1959,Muroran
5/8/1960,Muroran
5/5/1961,Muroran
5/8/1962,Muroran
5/6/1963,Muroran
5/7/1964,Muroran
5/16/1965,Muroran
5/16/1966,Muroran
5/4/1967,Muroran
5/5/1968,Muroran
5/7/1969,Muroran
5/14/1970,Muroran
5/12/1971,Muroran
5/4/1972,Muroran
5/8/1973,Muroran
5/11/1974,Muroran
5/8/1975,Muroran
5/10/1976,Muroran
5/12/1977,Muroran
5/12/1978,Muroran
5/12/1979,Muroran
5/15/1980,Muroran
5/6/1981,Muroran
5/10/1982,Muroran
4/29/1983,Muroran
5/25/1984,Muroran
5/10/1985,Muroran
5/8/1986,Muroran
5/9/1987,Muroran
5/6/1988,Muroran
4/30/1989,Muroran
4/26/1990,Muroran
5/2/1991,Muroran
5/6/1992,Muroran
5/4/1993,Muroran
5/6/1994,Muroran
5/5/1995,Muroran
5/13/1996,Muroran
5/2/1997,Muroran
4/29/1998,Muroran
5/8/1999,Muroran
5/15/2000,Muroran
5/9/2001,Muroran
4/23/2002,Muroran
5/2/2003,Muroran
5/4/2004,Muroran
5/10/2005,Muroran
5/12/2006,Muroran
5/7/2007,Muroran
4/25/2008,Muroran
5/3/2009,Muroran
5/14/2010,Muroran
5/6/2011,Muroran
5/9/2012,Muroran
5/16/2013,Muroran
4/29/2014,Muroran
4/28/2015,Muroran
4/25/2016,Muroran
5/2/2017,Muroran
4/29/2018,Muroran
4/29/2019,Muroran
5/1/2020,Muroran
4/27/2021,Muroran
4/25/2022,Muroran
5/9/1953,Urakawa
5/7/1954,Urakawa
5/11/1955,Urakawa
5/7/1956,Urakawa
5/14/1957,Urakawa
5/12/1958,Urakawa
5/2/1959,Urakawa
5/13/1960,Urakawa
5/4/1961,Urakawa
5/3/1962,Urakawa
5/10/1963,Urakawa
5/11/1964,Urakawa
5/18/1965,Urakawa
5/11/1966,Urakawa
5/6/1967,Urakawa
5/10/1968,Urakawa
5/9/1969,Urakawa
5/12/1970,Urakawa
5/14/1971,Urakawa
5/3/1972,Urakawa
5/11/1973,Urakawa
5/12/1974,Urakawa
5/8/1975,Urakawa
5/15/1976,Urakawa
5/14/1977,Urakawa
5/16/1978,Urakawa
5/18/1979,Urakawa
5/19/1980,Urakawa
5/12/1981,Urakawa
5/13/1982,Urakawa
5/5/1983,Urakawa
5/25/1984,Urakawa
5/12/1985,Urakawa
5/10/1986,Urakawa
5/12/1987,Urakawa
5/12/1988,Urakawa
5/8/1989,Urakawa
5/6/1990,Urakawa
5/7/1991,Urakawa
5/12/1992,Urakawa
5/12/1993,Urakawa
5/13/1994,Urakawa
5/9/1995,Urakawa
5/11/1996,Urakawa
5/5/1997,Urakawa
5/4/1998,Urakawa
5/2/1999,Urakawa
5/8/2000,Urakawa
5/9/2001,Urakawa
4/28/2002,Urakawa
5/10/2003,Urakawa
5/11/2004,Urakawa
5/16/2005,Urakawa
5/11/2006,Urakawa
5/8/2007,Urakawa
5/4/2008,Urakawa
5/5/2009,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
,Urakawa
5/8/1953,Esashi
5/1/1954,Esashi
5/3/1955,Esashi
5/3/1956,Esashi
5/4/1957,Esashi
5/5/1958,Esashi
4/27/1959,Esashi
5/2/1960,Esashi
4/28/1961,Esashi
4/29/1962,Esashi
4/27/1963,Esashi
5/5/1964,Esashi
5/13/1965,Esashi
5/4/1966,Esashi
5/1/1967,Esashi
4/27/1968,Esashi
5/5/1969,Esashi
5/7/1970,Esashi
5/10/1971,Esashi
4/29/1972,Esashi
5/1/1973,Esashi
5/10/1974,Esashi
4/30/1975,Esashi
5/5/1976,Esashi
5/8/1977,Esashi
5/8/1978,Esashi
5/4/1979,Esashi
5/12/1980,Esashi
5/3/1981,Esashi
5/2/1982,Esashi
4/26/1983,Esashi
5/19/1984,Esashi
5/4/1985,Esashi
5/6/1986,Esashi
5/5/1987,Esashi
5/4/1988,Esashi
4/23/1989,Esashi
4/23/1990,Esashi
4/30/1991,Esashi
4/28/1992,Esashi
5/1/1993,Esashi
,Esashi
4/29/1995,Esashi
5/5/1996,Esashi
4/30/1997,Esashi
4/22/1998,Esashi
4/28/1999,Esashi
5/5/2000,Esashi
4/29/2001,Esashi
4/18/2002,Esashi
4/29/2003,Esashi
4/29/2004,Esashi
5/3/2005,Esashi
5/7/2006,Esashi
5/1/2007,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
,Esashi
5/2/1953,Hakodate
5/3/1954,Hakodate
5/8/1955,Hakodate
5/3/1956,Hakodate
5/8/1957,Hakodate
5/4/1958,Hakodate
4/26/1959,Hakodate
5/4/1960,Hakodate
4/30/1961,Hakodate
5/3/1962,Hakodate
5/3/1963,Hakodate
5/5/1964,Hakodate
5/14/1965,Hakodate
5/7/1966,Hakodate
5/3/1967,Hakodate
5/2/1968,Hakodate
5/5/1969,Hakodate
5/6/1970,Hakodate
5/11/1971,Hakodate
4/29/1972,Hakodate
5/2/1973,Hakodate
5/9/1974,Hakodate
5/1/1975,Hakodate
5/9/1976,Hakodate
5/8/1977,Hakodate
5/8/1978,Hakodate
5/7/1979,Hakodate
5/12/1980,Hakodate
5/3/1981,Hakodate
5/7/1982,Hakodate
4/27/1983,Hakodate
5/23/1984,Hakodate
5/4/1985,Hakodate
5/5/1986,Hakodate
5/4/1987,Hakodate
5/2/1988,Hakodate
4/23/1989,Hakodate
4/22/1990,Hakodate
4/28/1991,Hakodate
4/28/1992,Hakodate
4/27/1993,Hakodate
4/30/1994,Hakodate
4/30/1995,Hakodate
5/4/1996,Hakodate
4/27/1997,Hakodate
4/22/1998,Hakodate
4/27/1999,Hakodate
5/3/2000,Hakodate
4/28/2001,Hakodate
4/18/2002,Hakodate
4/28/2003,Hakodate
4/26/2004,Hakodate
5/1/2005,Hakodate
5/7/2006,Hakodate
4/30/2007,Hakodate
4/22/2008,Hakodate
4/25/2009,Hakodate
5/5/2010,Hakodate
5/2/2011,Hakodate
5/2/2012,Hakodate
5/8/2013,Hakodate
4/28/2014,Hakodate
4/21/2015,Hakodate
4/24/2016,Hakodate
4/27/2017,Hakodate
4/25/2018,Hakodate
4/24/2019,Hakodate
4/26/2020,Hakodate
4/20/2021,Hakodate
4/21/2022,Hakodate
5/12/1953,Kutchan
5/11/1954,Kutchan
5/19/1955,Kutchan
5/13/1956,Kutchan
5/15/1957,Kutchan
5/16/1958,Kutchan
5/2/1959,Kutchan
5/17/1960,Kutchan
5/9/1961,Kutchan
5/8/1962,Kutchan
5/7/1963,Kutchan
5/9/1964,Kutchan
5/20/1965,Kutchan
5/17/1966,Kutchan
5/9/1967,Kutchan
5/10/1968,Kutchan
5/10/1969,Kutchan
5/17/1970,Kutchan
,Kutchan
5/7/1972,Kutchan
5/11/1973,Kutchan
5/14/1974,Kutchan
5/10/1975,Kutchan
5/16/1976,Kutchan
5/14/1977,Kutchan
5/14/1978,Kutchan
5/17/1979,Kutchan
5/19/1980,Kutchan
5/10/1981,Kutchan
5/11/1982,Kutchan
5/1/1983,Kutchan
5/22/1984,Kutchan
5/11/1985,Kutchan
5/11/1986,Kutchan
5/13/1987,Kutchan
5/14/1988,Kutchan
5/5/1989,Kutchan
5/6/1990,Kutchan
5/9/1991,Kutchan
5/10/1992,Kutchan
5/12/1993,Kutchan
5/14/1994,Kutchan
5/8/1995,Kutchan
5/19/1996,Kutchan
5/9/1997,Kutchan
4/28/1998,Kutchan
5/9/1999,Kutchan
5/12/2000,Kutchan
5/8/2001,Kutchan
4/25/2002,Kutchan
5/4/2003,Kutchan
5/7/2004,Kutchan
5/14/2005,Kutchan
5/15/2006,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Kutchan
,Monbetsu
,Monbetsu
,Monbetsu
5/5/1956,Monbetsu
5/11/1957,Monbetsu
5/19/1958,Monbetsu
5/1/1959,Monbetsu
5/15/1960,Monbetsu
5/6/1961,Monbetsu
5/9/1962,Monbetsu
5/9/1963,Monbetsu
5/13/1964,Monbetsu
5/18/1965,Monbetsu
5/19/1966,Monbetsu
5/6/1967,Monbetsu
5/7/1968,Monbetsu
5/6/1969,Monbetsu
5/9/1970,Monbetsu
5/16/1971,Monbetsu
5/5/1972,Monbetsu
5/11/1973,Monbetsu
5/14/1974,Monbetsu
5/22/1975,Monbetsu
5/10/1976,Monbetsu
5/12/1977,Monbetsu
5/8/1978,Monbetsu
5/21/1979,Monbetsu
5/20/1980,Monbetsu
5/11/1981,Monbetsu
5/12/1982,Monbetsu
5/1/1983,Monbetsu
5/25/1984,Monbetsu
5/10/1985,Monbetsu
5/6/1986,Monbetsu
5/6/1987,Monbetsu
5/11/1988,Monbetsu
5/15/1989,Monbetsu
5/6/1990,Monbetsu
5/7/1991,Monbetsu
5/11/1992,Monbetsu
5/17/1993,Monbetsu
5/11/1994,Monbetsu
5/7/1995,Monbetsu
5/27/1996,Monbetsu
5/7/1997,Monbetsu
4/29/1998,Monbetsu
5/12/1999,Monbetsu
5/21/2000,Monbetsu
5/13/2001,Monbetsu
4/28/2002,Monbetsu
5/8/2003,Monbetsu
5/11/2004,Monbetsu
5/21/2005,Monbetsu
5/16/2006,Monbetsu
5/15/2007,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Monbetsu
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
5/9/1958,Hiroo
4/29/1959,Hiroo
5/9/1960,Hiroo
5/2/1961,Hiroo
5/5/1962,Hiroo
5/6/1963,Hiroo
5/11/1964,Hiroo
5/17/1965,Hiroo
5/15/1966,Hiroo
5/2/1967,Hiroo
5/2/1968,Hiroo
5/5/1969,Hiroo
5/12/1970,Hiroo
5/12/1971,Hiroo
5/5/1972,Hiroo
5/5/1973,Hiroo
5/12/1974,Hiroo
5/13/1975,Hiroo
5/8/1976,Hiroo
5/11/1977,Hiroo
5/10/1978,Hiroo
5/21/1979,Hiroo
5/17/1980,Hiroo
5/7/1981,Hiroo
5/9/1982,Hiroo
5/1/1983,Hiroo
5/28/1984,Hiroo
5/10/1985,Hiroo
5/9/1986,Hiroo
5/5/1987,Hiroo
5/7/1988,Hiroo
5/7/1989,Hiroo
5/3/1990,Hiroo
5/4/1991,Hiroo
5/10/1992,Hiroo
5/13/1993,Hiroo
5/8/1994,Hiroo
5/5/1995,Hiroo
5/13/1996,Hiroo
5/2/1997,Hiroo
4/26/1998,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Hiroo
,Shinjo
,Shinjo
,Shinjo
,Shinjo
,Shinjo
4/23/1958,Shinjo
4/15/1959,Shinjo
4/23/1960,Shinjo
4/22/1961,Shinjo
4/23/1962,Shinjo
4/20/1963,Shinjo
4/17/1964,Shinjo
5/6/1965,Shinjo
4/22/1966,Shinjo
4/23/1967,Shinjo
4/21/1968,Shinjo
4/22/1969,Shinjo
4/29/1970,Shinjo
4/23/1971,Shinjo
4/13/1972,Shinjo
4/20/1973,Shinjo
4/28/1974,Shinjo
4/22/1975,Shinjo
4/25/1976,Shinjo
